model_tag,seed,seq_len,layer,n_layers,K,qbin,qbin_lo,qbin_hi,null_usage,scale0_usage,scale1_usage,scale2_usage
medium,43,4096,15,24,3,3,1536,2048,0.198147714138031,0.44806280732154846,0.3558197319507599,0.30197563767433167
medium,43,4096,15,24,3,4,2048,2560,0.19532430171966553,0.4575011432170868,0.35155189037323,0.30167025327682495
medium,43,4096,15,24,3,5,2560,3072,0.1953538954257965,0.4536949396133423,0.35347190499305725,0.2963391840457916
medium,43,4096,15,24,3,6,3072,3584,0.19253164529800415,0.45237427949905396,0.35798749327659607,0.2968102991580963
medium,43,4096,15,24,3,7,3584,4096,0.1903064101934433,0.45750516653060913,0.34983551502227783,0.3017207980155945
medium,43,4096,16,24,3,0,0,512,0.23142659664154053,0.46458661556243896,0.4342959225177765,0.3141295909881592
medium,43,4096,16,24,3,1,512,1024,0.2401025891304016,0.4355844557285309,0.44704487919807434,0.30001527070999146
medium,43,4096,16,24,3,2,1024,1536,0.23628944158554077,0.42879170179367065,0.45687371492385864,0.30286896228790283
medium,43,4096,16,24,3,3,1536,2048,0.23739281296730042,0.4269658923149109,0.4590371251106262,0.29975661635398865
medium,43,4096,16,24,3,4,2048,2560,0.23685558140277863,0.42773041129112244,0.46080076694488525,0.2940612733364105
medium,43,4096,16,24,3,5,2560,3072,0.23602893948554993,0.4363057017326355,0.4625493288040161,0.2961137890815735
medium,43,4096,16,24,3,6,3072,3584,0.23581764101982117,0.4361555576324463,0.4662657678127289,0.30158543586730957
medium,43,4096,16,24,3,7,3584,4096,0.23430760204792023,0.43274804949760437,0.4684019386768341,0.3021608889102936
medium,43,4096,17,24,3,0,0,512,0.2795622944831848,0.3419037163257599,0.41251060366630554,0.4167342483997345
medium,43,4096,17,24,3,1,512,1024,0.27788257598876953,0.35690662264823914,0.40879586338996887,0.436131089925766
medium,43,4096,17,24,3,2,1024,1536,0.2684316635131836,0.36639025807380676,0.40888866782188416,0.4400242865085602
medium,43,4096,17,24,3,3,1536,2048,0.26291555166244507,0.37901851534843445,0.4049798548221588,0.44776424765586853
medium,43,4096,17,24,3,4,2048,2560,0.25729504227638245,0.3865194618701935,0.40247103571891785,0.45064160227775574
medium,43,4096,17,24,3,5,2560,3072,0.2558814287185669,0.3866996467113495,0.4031904935836792,0.4539972245693207
medium,43,4096,17,24,3,6,3072,3584,0.25314265489578247,0.38933926820755005,0.4019199013710022,0.457315593957901
medium,43,4096,17,24,3,7,3584,4096,0.24343140423297882,0.4046785235404968,0.4039410650730133,0.46420544385910034
medium,43,4096,18,24,3,0,0,512,0.31488749384880066,0.43218207359313965,0.4000837206840515,0.39717239141464233
medium,43,4096,18,24,3,1,512,1024,0.3085210621356964,0.4233274757862091,0.40846797823905945,0.39874622225761414
medium,43,4096,18,24,3,2,1024,1536,0.28875046968460083,0.4194720983505249,0.4190385341644287,0.40132689476013184
medium,43,4096,18,24,3,3,1536,2048,0.2928434908390045,0.4125596582889557,0.41600409150123596,0.39662352204322815
medium,43,4096,18,24,3,4,2048,2560,0.2963656187057495,0.4101685583591461,0.4138083755970001,0.3821903169155121
medium,43,4096,18,24,3,5,2560,3072,0.293951153755188,0.40633341670036316,0.414896160364151,0.38921356201171875
medium,43,4096,18,24,3,6,3072,3584,0.29279136657714844,0.40394869446754456,0.4116729497909546,0.38951170444488525
medium,43,4096,18,24,3,7,3584,4096,0.2896813750267029,0.40327519178390503,0.40981388092041016,0.38822418451309204
medium,43,4096,19,24,3,0,0,512,0.2527490556240082,0.45338496565818787,0.2522641718387604,0.3203631639480591
medium,43,4096,19,24,3,1,512,1024,0.2579724192619324,0.4184606075286865,0.2643049359321594,0.3239625096321106
medium,43,4096,19,24,3,2,1024,1536,0.26768413186073303,0.3876727819442749,0.26614364981651306,0.3244631290435791
medium,43,4096,19,24,3,3,1536,2048,0.26519349217414856,0.3866286873817444,0.27194511890411377,0.3224436640739441
medium,43,4096,19,24,3,4,2048,2560,0.27078816294670105,0.37224215269088745,0.27319401502609253,0.31847283244132996
medium,43,4096,19,24,3,5,2560,3072,0.26969894766807556,0.36658719182014465,0.2779567241668701,0.321889191865921
medium,43,4096,19,24,3,6,3072,3584,0.27419283986091614,0.3616011440753937,0.2727588713169098,0.31816789507865906
medium,43,4096,19,24,3,7,3584,4096,0.2744506299495697,0.3560533821582794,0.27636587619781494,0.3183864951133728
medium,43,4096,20,24,3,0,0,512,0.15266482532024384,0.5184580087661743,0.3520510792732239,0.38206005096435547
medium,43,4096,20,24,3,1,512,1024,0.14632940292358398,0.5175766944885254,0.3462411165237427,0.3700338304042816
medium,43,4096,20,24,3,2,1024,1536,0.1441756933927536,0.5126702189445496,0.34814518690109253,0.365153968334198
medium,43,4096,20,24,3,3,1536,2048,0.14390641450881958,0.5102407932281494,0.34533047676086426,0.3593684434890747
medium,43,4096,20,24,3,4,2048,2560,0.14297187328338623,0.5050155520439148,0.3421329855918884,0.35822999477386475
medium,43,4096,20,24,3,5,2560,3072,0.14280188083648682,0.5056171417236328,0.34213733673095703,0.3542855381965637
medium,43,4096,20,24,3,6,3072,3584,0.14271703362464905,0.5045590996742249,0.33963799476623535,0.3535780608654022
medium,43,4096,20,24,3,7,3584,4096,0.14293193817138672,0.501396119594574,0.3372678756713867,0.3497360050678253
medium,43,4096,21,24,3,0,0,512,0.1873472034931183,0.5519391894340515,0.35842567682266235,0.3554311692714691
medium,43,4096,21,24,3,1,512,1024,0.1809566617012024,0.5722499489784241,0.383708655834198,0.36480557918548584
medium,43,4096,21,24,3,2,1024,1536,0.17895153164863586,0.5802793502807617,0.3897514343261719,0.3730427026748657
medium,43,4096,21,24,3,3,1536,2048,0.18119476735591888,0.5870871543884277,0.3842912018299103,0.36844685673713684
medium,43,4096,21,24,3,4,2048,2560,0.17878539860248566,0.589939534664154,0.39204540848731995,0.37220799922943115
medium,43,4096,21,24,3,5,2560,3072,0.1802496314048767,0.5927144885063171,0.3910965621471405,0.3702881336212158
medium,43,4096,21,24,3,6,3072,3584,0.1796790510416031,0.5951718688011169,0.3928278088569641,0.370408296585083
medium,43,4096,21,24,3,7,3584,4096,0.17874832451343536,0.5967018008232117,0.3914944529533386,0.37309005856513977
medium,43,4096,22,24,3,0,0,512,0.19196085631847382,0.4769629240036011,0.3101823031902313,0.43852612376213074
medium,43,4096,22,24,3,1,512,1024,0.18000398576259613,0.4848342537879944,0.30135124921798706,0.44033652544021606
medium,43,4096,22,24,3,2,1024,1536,0.1791713833808899,0.47945597767829895,0.2862970232963562,0.43432560563087463
medium,43,4096,22,24,3,3,1536,2048,0.18008588254451752,0.477547824382782,0.27702319622039795,0.42756927013397217
medium,43,4096,22,24,3,4,2048,2560,0.17884887754917145,0.475591242313385,0.26985955238342285,0.4228593707084656
medium,43,4096,22,24,3,5,2560,3072,0.18042726814746857,0.47688910365104675,0.26418301463127136,0.41916629672050476
medium,43,4096,22,24,3,6,3072,3584,0.18221157789230347,0.4780138432979584,0.2578500509262085,0.41147324442863464
medium,43,4096,22,24,3,7,3584,4096,0.1825379878282547,0.47515302896499634,0.25378888845443726,0.4084621071815491
medium,43,4096,23,24,3,0,0,512,0.4177132844924927,0.3263818323612213,0.20903846621513367,0.13541927933692932
medium,43,4096,23,24,3,1,512,1024,0.397289514541626,0.3650265634059906,0.2045142501592636,0.14758753776550293
medium,43,4096,23,24,3,2,1024,1536,0.3911265432834625,0.38187330961227417,0.1981494128704071,0.15330438315868378
medium,43,4096,23,24,3,3,1536,2048,0.3838123679161072,0.39160478115081787,0.19878508150577545,0.15582194924354553
medium,43,4096,23,24,3,4,2048,2560,0.3817339241504669,0.4002508521080017,0.1966407597064972,0.159206822514534
medium,43,4096,23,24,3,5,2560,3072,0.37864458560943604,0.4031277000904083,0.1970464289188385,0.16161565482616425
medium,43,4096,23,24,3,6,3072,3584,0.37033990025520325,0.41243666410446167,0.19778959453105927,0.1656612753868103
medium,43,4096,23,24,3,7,3584,4096,0.3729563057422638,0.4124380052089691,0.1944100558757782,0.1648929864168167
